-42,21,108
-40,13,125
-47,9,120
-30,-4,73
-36,-14,48
-28,2,62
-22,-3,57
-12,-26,45
1,-16,53
-6,-8,50
-10,-33,45
-38,-28,46
36,-51,55
-94,-36,65
0,4,70
-3,-32,66
-20,-22,53
25,57,57
-21,36,46
-10,7,72
-33,6,43
-23,29,31
-53,24,38
-46,8,39
-36,-22,52
-24,-1,59
-3,-1,53
21,0,53
42,-16,101
-31,32,19
-60,84,85
31,-70,43
10,-31,63
-29,38,72
-26,31,91
5,30,68
35,48,-12
6,-16,-45
-39,16,-47
-32,-20,-32
-60,22,11
-58,-20,-69
-54,51,-76
-79,46,-50
-45,15,-36
-71,37,-59
-13,24,-68
88,16,-71
-1,32,-39
-28,38,-38
-28,33,-39
-28,28,-48
-19,5,-61
-43,-2,-63
-63,-18,-44
-21,10,-48
5,6,-49
25,22,-64
28,35,-74
10,36,-53
12,24,-65
24,22,-59
16,35,-50
17,30,-57
28,13,-47
20,24,-57
19,28,-62
30,26,-36
30,26,-52
20,31,-52
14,31,-55
30,40,-44
27,21,-65
27,31,-43
29,21,-52
21,29,-72
25,25,-47
27,23,-53
25,32,-41
23,31,-48
27,32,-51
26,31,-47
26,24,-52
24,28,-48
25,27,-50
25,34,-49
22,29,-51
22,28,-54
23,29,-40
21,33,-49
26,29,-55
28,25,-51
24,30,-50
23,27,-50
25,29,-47
24,30,-49
27,29,-51
28,32,-49
29,30,-51
28,27,-46
27,34,-46
29,32,-46
27,34,-49
29,35,-32
33,25,-48
29,28,-45
33,22,-48
29,35,-56
31,31,-39
35,36,-42
29,30,-39
34,29,-50
31,26,-43
33,27,-49
31,28,-45
33,25,-46
34,26,-46
31,26,-51
22,30,-53
31,25,-46
30,23,-46
28,28,-48
30,35,-37
33,25,-43
29,26,-47
36,27,-50
32,25,-43
32,26,-46
37,13,-52
33,25,-49
28,31,-46
28,30,-46
35,20,-49
26,26,-47
26,24,-52
26,24,-51
25,26,-50
26,28,-53
27,25,-53
23,26,-50
23,24,-63
23,-24,-108
24,30,-51
24,26,-54
21,24,-56
20,25,-54
20,24,-55
19,25,-53
19,27,-55
17,26,-52
16,26,-52
18,26,-55
18,25,-52
17,26,-54
17,26,-56
20,24,-59
18,27,-51
19,26,-51
20,26,-55
21,27,-50
22,30,-54
25,25,-56
23,26,-54
18,30,-46
20,28,-50
27,26,-58
17,34,-45
14,33,-46
25,27,-58
22,24,-58
